hype	05771836-n	05770926-n
hype	10716005-n	10379758-n
hype	04456276-n	03359755-n
hype	10388924-n	09882007-n
hype	10389398-n	00007846-n
hype	13267014-n	13266892-n
hype	00856342-n	00844254-n
hype	05699434-n	05699172-n
hype	04645943-n	04645599-n
hype	01063350-n	01062817-n
hype	06321702-n	06320801-n
hype	15135536-n	09349797-n
hype	00511676-n	00517728-n
hype	00511212-n	00510189-n
hype	03632963-n	04018667-n
hype	14446878-n	14446652-n
hype	04711435-n	04709253-n
hype	04722715-n	04721058-n
hype	01046441-n	01028655-n
hype	13724582-n	13717155-n
hype	14956661-n	00020827-n
hype	07432119-n	07405893-n
hype	03397532-n	02681518-n
hype	03376438-n	03169390-n
hype	14591091-n	14586258-n
hype	15271008-n	15269513-n
hype	14010636-n	14010148-n
hype	07368256-n	07367812-n
hype	01017701-n	01017320-n
hype	10309614-n	09606009-n
hype	00848466-n	00848282-n
hype	14896018-n	14895189-n
hype	01140193-n	01139830-n
hype	00157463-n	00157081-n
hype	07215377-n	07213395-n
hype	14543931-n	14540765-n
hype	00907340-n	00903559-n
hype	00522537-n	00521562-n
hype	08664443-n	08620061-n
hype	01936671-n	01936391-n
hype	13737089-n	13736799-n
hype	00536120-n	00534849-n
hype	05193338-n	05192451-n
hype	05556595-n	08620061-n
hype	09805475-n	09614315-n
hype	00538991-n	00537682-n
hype	02396427-n	02395003-n
hype	03273913-n	04070727-n
hype	07112942-n	07113192-n
hype	02203152-n	02202287-n
hype	09638875-n	00007846-n
hype	04960729-n	04960079-n
hype	07841037-n	07809096-n
hype	04579986-n	03716327-n
hype	02791894-n	02792049-n
hype	02183857-n	02159955-n
hype	07726796-n	07724943-n
hype	06498569-n	06497459-n
hype	08539072-n	08537837-n
hype	04804306-n	04802907-n
hype	04876985-n	04723816-n
hype	14934031-n	00020090-n
hype	03673594-n	03691128-n
hype	14500567-n	14499262-n
hype	00736219-n	00735936-n
hype	07293391-n	07293180-n
hype	12651611-n	12651821-n
hype	10670668-n	10677713-n
hype	10057271-n	10597234-n
hype	05602548-n	05601758-n
hype	05313535-n	05254795-n
hype	08584787-n	08617963-n
hype	01222859-n	01221790-n
hype	00203753-n	00203342-n
hype	00421047-n	00420477-n
hype	13996719-n	13996300-n
hype	07538674-n	07537485-n
hype	13806140-n	06329506-n
hype	13277179-n	13275495-n
hype	12695975-n	13104059-n
hype	06052165-n	06051542-n
hype	09391644-n	09437454-n
hype	04095342-n	03940256-n
hype	03104247-n	03289025-n
hype	06509902-n	06509210-n
hype	15148787-n	15204983-n
hype	03055418-n	02774152-n
hype	11953610-n	13125117-n
hype	11953038-n	12205694-n
hype	07731284-n	07731122-n
hype	04271371-n	03974215-n
hype	00856733-n	00844254-n
hype	08547143-n	08647945-n
hype	11412592-n	11410625-n
hype	02930492-n	04007894-n
hype	07476623-n	07475364-n
hype	05000537-n	05000342-n
hype	03413428-n	02913152-n
hype	03413428-n	03953020-n
hype	13734992-n	13733402-n
hype	07094731-n	07094093-n
hype	07205104-n	07204911-n
hype	14647722-n	14622893-n
hype	14614594-n	14972359-n
hype	00375625-n	00374224-n
hype	07689624-n	07686873-n
hype	14545215-n	14544672-n
hype	14405061-n	14404941-n
hype	10703905-n	10786033-n
hype	14187378-n	14070360-n
hype	15054862-n	15053867-n
hype	14730105-n	14728724-n
hype	05952678-n	05941423-n
hype	04084234-n	03081021-n
hype	00364053-n	00363788-n
